id,url,price,page_number,scraped_at
1015017580,https://krisha.kz/a/show/1015017580,500000,60,2026-08-23T14:27:50+00:00
669976537,https://krisha.kz/a/show/669976537,370000,60,2026-08-23T14:27:50+00:00
1014895507,https://krisha.kz/a/show/1014895507,380000,60,2026-08-23T14:27:50+00:00
1013939128,https://krisha.kz/a/show/1013939128,500000,60,2026-08-23T14:27:50+00:00
1014608992,https://krisha.kz/a/show/1014608992,350000,60,2026-08-23T14:27:50+00:00
1013963249,https://krisha.kz/a/show/1013963249,300000,60,2026-08-23T14:27:50+00:00
1014003372,https://krisha.kz/a/show/1014003372,300000,60,2026-08-23T14:27:50+00:00
1015008284,https://krisha.kz/a/show/1015008284,300000,60,2026-08-23T14:27:50+00:00
1014650001,https://krisha.kz/a/show/1014650001,250000,60,2026-08-23T14:27:50+00:00
1014933972,https://krisha.kz/a/show/1014933972,300000,61,2026-08-23T14:27:53+00:00
1014907727,https://krisha.kz/a/show/1014907727,320000,61,2026-08-23T14:27:53+00:00
1015028630,https://krisha.kz/a/show/1015028630,500000,61,2026-08-23T14:27:53+00:00
1015026482,https://krisha.kz/a/show/1015026482,350000,61,2026-08-23T14:27:53+00:00
1014639313,https://krisha.kz/a/show/1014639313,350000,61,2026-08-23T14:27:53+00:00
1014371729,https://krisha.kz/a/show/1014371729,1000000,61,2026-08-23T14:27:53+00:00
1014712293,https://krisha.kz/a/show/1014712293,310000,61,2026-08-23T14:27:53+00:00
1014567344,https://krisha.kz/a/show/1014567344,300000,61,2026-08-23T14:27:53+00:00
1013791649,https://krisha.kz/a/show/1013791649,480000,61,2026-08-23T14:27:53+00:00
1012887805,https://krisha.kz/a/show/1012887805,350000,61,2026-08-23T14:27:53+00:00
1015024554,https://krisha.kz/a/show/1015024554,270000,61,2026-08-23T14:27:53+00:00
1014775164,https://krisha.kz/a/show/1014775164,500000,61,2026-08-23T14:27:53+00:00
1005272624,https://krisha.kz/a/show/1005272624,250000,61,2026-08-23T14:27:53+00:00
1014173289,https://krisha.kz/a/show/1014173289,250000,61,2026-08-23T14:27:53+00:00
1003744186,https://krisha.kz/a/show/1003744186,280000,61,2026-08-23T14:27:53+00:00
1007101586,https://krisha.kz/a/show/1007101586,350000,61,2026-08-23T14:27:53+00:00
1015033353,https://krisha.kz/a/show/1015033353,750000,61,2026-08-23T14:27:53+00:00
1014886419,https://krisha.kz/a/show/1014886419,250000,61,2026-08-23T14:27:53+00:00
1010137571,https://krisha.kz/a/show/1010137571,800000,62,2026-08-23T14:27:56+00:00
1011118546,https://krisha.kz/a/show/1011118546,700000,62,2026-08-23T14:27:56+00:00
1014410465,https://krisha.kz/a/show/1014410465,600000,62,2026-08-23T14:27:56+00:00
1014376988,https://krisha.kz/a/show/1014376988,350000,62,2026-08-23T14:27:56+00:00
1014516504,https://krisha.kz/a/show/1014516504,700000,62,2026-08-23T14:27:56+00:00
1006771459,https://krisha.kz/a/show/1006771459,400000,62,2026-08-23T14:27:56+00:00
1015006849,https://krisha.kz/a/show/1015006849,350000,62,2026-08-23T14:27:56+00:00
1015005287,https://krisha.kz/a/show/1015005287,270000,62,2026-08-23T14:27:56+00:00
1014651676,https://krisha.kz/a/show/1014651676,300000,62,2026-08-23T14:27:56+00:00
1013169512,https://krisha.kz/a/show/1013169512,599999,62,2026-08-23T14:27:56+00:00
1014842528,https://krisha.kz/a/show/1014842528,300000,62,2026-08-23T14:27:56+00:00
1015011528,https://krisha.kz/a/show/1015011528,250000,62,2026-08-23T14:27:56+00:00
1014125823,https://krisha.kz/a/show/1014125823,1700000,62,2026-08-23T14:27:56+00:00
1015023543,https://krisha.kz/a/show/1015023543,350000,63,2026-08-23T14:27:59+00:00
1014603330,https://krisha.kz/a/show/1014603330,300000,63,2026-08-23T14:27:59+00:00
1014641301,https://krisha.kz/a/show/1014641301,310000,64,2026-08-23T14:28:03+00:00
1015018478,https://krisha.kz/a/show/1015018478,490000,63,2026-08-23T14:27:59+00:00
1014709782,https://krisha.kz/a/show/1014709782,310000,63,2026-08-23T14:27:59+00:00
1014828504,https://krisha.kz/a/show/1014828504,450000,63,2026-08-23T14:27:59+00:00
1012239463,https://krisha.kz/a/show/1012239463,390000,62,2026-08-23T14:27:56+00:00
1014889457,https://krisha.kz/a/show/1014889457,300000,63,2026-08-23T14:27:59+00:00
1014817344,https://krisha.kz/a/show/1014817344,380000,63,2026-08-23T14:27:59+00:00
1014766086,https://krisha.kz/a/show/1014766086,1500000,63,2026-08-23T14:27:59+00:00
1014432531,https://krisha.kz/a/show/1014432531,250000,63,2026-08-23T14:27:59+00:00
1014836604,https://krisha.kz/a/show/1014836604,270000,64,2026-08-23T14:28:03+00:00
1013602722,https://krisha.kz/a/show/1013602722,1500000,64,2026-08-23T14:28:03+00:00
1015028926,https://krisha.kz/a/show/1015028926,350000,63,2026-08-23T14:27:59+00:00
1015029633,https://krisha.kz/a/show/1015029633,280000,63,2026-08-23T14:27:59+00:00
1014891525,https://krisha.kz/a/show/1014891525,260000,63,2026-08-23T14:27:59+00:00
1003047650,https://krisha.kz/a/show/1003047650,250000,63,2026-08-23T14:27:59+00:00
1015033565,https://krisha.kz/a/show/1015033565,350000,63,2026-08-23T14:27:59+00:00
1015016933,https://krisha.kz/a/show/1015016933,400000,63,2026-08-23T14:27:59+00:00
1015020128,https://krisha.kz/a/show/1015020128,230000,63,2026-08-23T14:27:59+00:00
1014842299,https://krisha.kz/a/show/1014842299,300000,63,2026-08-23T14:27:59+00:00
1014864099,https://krisha.kz/a/show/1014864099,500000,64,2026-08-23T14:28:03+00:00
1015034288,https://krisha.kz/a/show/1015034288,200000,64,2026-08-23T14:28:03+00:00
680000163,https://krisha.kz/a/show/680000163,450000,64,2026-08-23T14:28:03+00:00
1014836325,https://krisha.kz/a/show/1014836325,320000,64,2026-08-23T14:28:03+00:00
1015022050,https://krisha.kz/a/show/1015022050,220000,64,2026-08-23T14:28:03+00:00
1014555662,https://krisha.kz/a/show/1014555662,300000,64,2026-08-23T14:28:03+00:00
1011459023,https://krisha.kz/a/show/1011459023,250000,64,2026-08-23T14:28:03+00:00
1015034352,https://krisha.kz/a/show/1015034352,300000,64,2026-08-23T14:28:03+00:00
1014774051,https://krisha.kz/a/show/1014774051,260000,64,2026-08-23T14:28:03+00:00
1014660988,https://krisha.kz/a/show/1014660988,600000,64,2026-08-23T14:28:03+00:00
687540246,https://krisha.kz/a/show/687540246,250000,64,2026-08-23T14:28:03+00:00
688999878,https://krisha.kz/a/show/688999878,280000,64,2026-08-23T14:28:03+00:00
1015033640,https://krisha.kz/a/show/1015033640,90000,64,2026-08-23T14:28:03+00:00
1015019644,https://krisha.kz/a/show/1015019644,250000,64,2026-08-23T14:28:03+00:00
1012570438,https://krisha.kz/a/show/1012570438,220000,64,2026-08-23T14:28:03+00:00
1012598842,https://krisha.kz/a/show/1012598842,450000,64,2026-08-23T14:28:03+00:00
1008818879,https://krisha.kz/a/show/1008818879,300000,64,2026-08-23T14:28:03+00:00
679905532,https://krisha.kz/a/show/679905532,450000,65,2026-08-23T14:28:05+00:00
1014647528,https://krisha.kz/a/show/1014647528,200000,65,2026-08-23T14:28:05+00:00
1010832404,https://krisha.kz/a/show/1010832404,550000,65,2026-08-23T14:28:05+00:00
1009814848,https://krisha.kz/a/show/1009814848,220000,65,2026-08-23T14:28:05+00:00
1007074282,https://krisha.kz/a/show/1007074282,450000,65,2026-08-23T14:28:05+00:00
1015032522,https://krisha.kz/a/show/1015032522,240000,65,2026-08-23T14:28:05+00:00
1011460478,https://krisha.kz/a/show/1011460478,270000,65,2026-08-23T14:28:05+00:00
1004702908,https://krisha.kz/a/show/1004702908,250000,65,2026-08-23T14:28:05+00:00
1005882279,https://krisha.kz/a/show/1005882279,550000,65,2026-08-23T14:28:05+00:00
1007732541,https://krisha.kz/a/show/1007732541,250000,65,2026-08-23T14:28:05+00:00
1012968863,https://krisha.kz/a/show/1012968863,420000,65,2026-08-23T14:28:05+00:00
672367235,https://krisha.kz/a/show/672367235,300000,65,2026-08-23T14:28:05+00:00
1007354960,https://krisha.kz/a/show/1007354960,280000,65,2026-08-23T14:28:05+00:00
1015031305,https://krisha.kz/a/show/1015031305,400000,65,2026-08-23T14:28:05+00:00
1014697911,https://krisha.kz/a/show/1014697911,300000,65,2026-08-23T14:28:05+00:00
696445539,https://krisha.kz/a/show/696445539,200000,65,2026-08-23T14:28:05+00:00
1015030726,https://krisha.kz/a/show/1015030726,290000,65,2026-08-23T14:28:05+00:00
1014962558,https://krisha.kz/a/show/1014962558,320000,65,2026-08-23T14:28:05+00:00
1013676827,https://krisha.kz/a/show/1013676827,250000,65,2026-08-23T14:28:05+00:00
1005651601,https://krisha.kz/a/show/1005651601,700000,65,2026-08-23T14:28:05+00:00
690853262,https://krisha.kz/a/show/690853262,250000,66,2026-08-23T14:28:08+00:00
699650206,https://krisha.kz/a/show/699650206,270000,66,2026-08-23T14:28:08+00:00
698333887,https://krisha.kz/a/show/698333887,500000,66,2026-08-23T14:28:08+00:00
1013267764,https://krisha.kz/a/show/1013267764,550000,66,2026-08-23T14:28:08+00:00
1014655954,https://krisha.kz/a/show/1014655954,280000,66,2026-08-23T14:28:08+00:00
1014829564,https://krisha.kz/a/show/1014829564,450000,66,2026-08-23T14:28:08+00:00
1011345629,https://krisha.kz/a/show/1011345629,230000,66,2026-08-23T14:28:08+00:00
1014336649,https://krisha.kz/a/show/1014336649,430000,66,2026-08-23T14:28:08+00:00
1008471754,https://krisha.kz/a/show/1008471754,850000,66,2026-08-23T14:28:08+00:00
665275356,https://krisha.kz/a/show/665275356,270000,66,2026-08-23T14:28:08+00:00
1014234846,https://krisha.kz/a/show/1014234846,300000,66,2026-08-23T14:28:08+00:00
1015029841,https://krisha.kz/a/show/1015029841,250000,66,2026-08-23T14:28:08+00:00
1015007028,https://krisha.kz/a/show/1015007028,250000,66,2026-08-23T14:28:08+00:00
1005630194,https://krisha.kz/a/show/1005630194,650000,66,2026-08-23T14:28:08+00:00
699124600,https://krisha.kz/a/show/699124600,1000000,66,2026-08-23T14:28:08+00:00
671120502,https://krisha.kz/a/show/671120502,750000,66,2026-08-23T14:28:08+00:00
1014328957,https://krisha.kz/a/show/1014328957,1500000,66,2026-08-23T14:28:08+00:00
1006693242,https://krisha.kz/a/show/1006693242,230000,66,2026-08-23T14:28:08+00:00
1004620556,https://krisha.kz/a/show/1004620556,350000,66,2026-08-23T14:28:08+00:00
760450882,https://krisha.kz/a/show/760450882,270000,66,2026-08-23T14:28:08+00:00
1014654876,https://krisha.kz/a/show/1014654876,260000,67,2026-08-23T14:28:12+00:00
1003131905,https://krisha.kz/a/show/1003131905,1000000,67,2026-08-23T14:28:12+00:00
1009038909,https://krisha.kz/a/show/1009038909,200000,67,2026-08-23T14:28:12+00:00
1015029301,https://krisha.kz/a/show/1015029301,550000,67,2026-08-23T14:28:12+00:00
1015015937,https://krisha.kz/a/show/1015015937,300000,67,2026-08-23T14:28:12+00:00
1007665497,https://krisha.kz/a/show/1007665497,380000,67,2026-08-23T14:28:12+00:00
1014634657,https://krisha.kz/a/show/1014634657,350000,67,2026-08-23T14:28:12+00:00
692068414,https://krisha.kz/a/show/692068414,250000,67,2026-08-23T14:28:12+00:00
1014111403,https://krisha.kz/a/show/1014111403,300000,67,2026-08-23T14:28:12+00:00
